MEDIA;Calibrate;Pabs;Tdesc;Tsaid GC;Tsaid Aque;Tsaid Res;mpri;W;Qevap;Qcond;COP;SOMA;MAIOR;Calibrate;Pabs;Tdesc;Tsaid GC;Tsaid Aque;Tsaid Res;mpri;W;Qevap;Qcond;COP;Maior;DESVIO;Calibrate;Pabs;Tdesc;Tsaid GC;Tsaid Aque;Tsaid Res;mpri;W;Qevap;Qcond;COP;SOMA
1;0;0;0.048868761;0.032539075;0.030003978;0.033788559;0.043529191;0.100384645;0.038558204;0.076070615;0.11701068;0.057861523;1;0;0;0.144050195;0.078798183;0.118532002;0.068359966;0.170844581;0.336380707;0.159326799;0.287417254;0.413060497;0.413060497;1;0;0;0.054159921;0.01350296;0.036508362;0.019744045;0.055332787;0.129351399;0.047029629;0.095064325;0.144927984;0.066180157
2;0;1;0.078229132;0.042549126;0.062058559;0.031531214;0.054545301;0.083470965;0.137037416;0.043429212;0.45835574;0.110134074;2;0;1;0.200146283;0.072937547;0.183990197;0.057204531;0.141559823;0.248919297;0.34528096;0.202584281;1.178234966;1.178234966;2;0;1;0.048545954;0.009895675;0.066931603;0.011824065;0.048868456;0.100903866;0.15633963;0.062540746;0.552281437;0.117570159
3;3;0;0.083985347;0.105825777;0.07125602;0.066960184;0.102173751;1.01963834;0.097543179;0.208643706;0.469725291;0.247305733;3;3;0;0.121256203;0.204759454;0.317372515;0.114571838;0.484705138;1.937563178;0.341614732;0.276361476;0.600663099;1.937563178;3;3;0;0.018944304;0.03365743;0.099917387;0.030306126;0.134794541;0.277256504;0.103000833;0.111621063;0.037465655;0.094107094
4;3;1;0.034395251;0.106859184;0.061147623;0.07230574;0.086216198;0.905445036;0.088130668;0.198158279;0.454479505;0.223015276;4;3;1;0.072674394;0.17349534;0.238181909;0.112657776;0.237312123;1.377760788;0.358008307;0.276274066;0.589764262;1.377760788;4;3;1;0.0282905;0.024180185;0.084116996;0.02169631;0.101176153;0.184590139;0.112265913;0.071201697;0.059707166;0.07635834
5;2;1;0.245963322;0.041644901;0.038709616;0.070151816;0.03683846;0.070431907;0.070212567;0.192533973;0.431615742;0.133122478;5;2;1;0.358895078;0.071947795;0.148383384;0.11333041;0.102618444;0.156120362;0.220846872;0.379316315;1.263032721;1.263032721;5;2;1;0.064278342;0.010123082;0.052635106;0.017678174;0.043187462;0.064854907;0.082361001;0.070791869;0.520526512;0.102937384
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calibrate 0 equivale a primeira calibrańŃo completa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calibrate 2 equivale a calibrańŃo usando P+1bar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pabs 0 equivale a uso da pressŃo como absoluta diretamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pabs 1 equivale a pressao usada como manometrica P+1bar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calibrate 2 e Pabs 1 obteve 2 pontos nŃo calculados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calibrate 0 e Pabs1 obteve 3 pontos nŃo calculados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calibrate 0 e Pabs 0 calculou todos os pontos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calibrate 3 sup§e que a vßlvula utiliza o modelo padrŃo e que nŃo hß otimizańŃo alķm do compressor, utilizando os dados do artigo do Richard.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
